ID,TaxLevel,Lifeform,Morphology,Habit,Symbiont,fxlgp,TaxStatus,Synonym,CurrentSciName22chklst,CurrentAuth,ChcklstRemrks,NewSciCode,R6Scicode,FIANumCode,FIAAlphaCode,FIA Sci,NRCS Symbol,Common Name,Notes,Family,fxlgpcode,S_e_class,S_e_occ,S_e_max,S_e_CL =80+,S_e_50+,S_e_10+,S_w_class,S_w_occ,S_w_max,S_w_CL =80+,S_w_50+ w,S_w_10+ ,N_e_class ,N_e_occ,N_e_max,N_e_CL =80+,N_e_50+,N_e_10+,N_w_class,N_w_occ,N_w_max,N_w_CL =80+,N_w_50+,N_w_10+,consrv_stat,consrv_stat_link
1,Genus,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus,Abrothallus,De Not.,,Abrothallus,Abrothallus,,,,ABROT,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus acetabuli,Abrothallus acetabuli,Diederich,,Abrace,Abrace,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus bertianus,Abrothallus bertianus,De Not.,,Abrber,Abrber,,,,ABBE2,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus bryoriarum,Abrothallus bryoriarum,Hafellner,,Abrbry,Abrbry,,,,ABBR3,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus caerulescens,Abrothallus caerulescens,Kotte,,Abrcae,Abrcae,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus cetrariae,Abrothallus cetrariae,Kotte,,Abrcet,Abrcet,,,,ABCE,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus cladoniae,Abrothallus cladoniae,R. Sant. & D. Hawksw.,,Abrcla,Abrcla,,,,ABCL,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus eriodermae,Abrothallus eriodermae,"Suija, Etayo & Pérez-Ortega",,Abreri,Abrert,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus ertzii,Abrothallus ertzii," Suija, & Pérez-Ortega",,Abrert,Abrhal,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus halei,Abrothallus halei,"Pérez-Ortega, Suija, D. Hawksw. & R. Sant.",,Abrhal,Abrhal,,,,,Hale's abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus hypotrachynae,Abrothallus hypotrachynae,Etayo & Diederich,,Abrhyp,Abrhyp,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus microspermus,Abrothallus microspermus,Tul.,,Abrmic,Abrmic,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus nephromatis,Abrothallus nephromatis,"Suija, & Pérez-Ortega",,Abrnep,Abrnep,,,,,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Species,Lichenicolous fungus,,Lichenicolous,,,Current,Abrothallus parmeliarum,Abrothallus parmeliarum,(Sommerf.) Arnold,,Abrpar,Abrpar,,,,ABPA5,abrothallus lichenicolous fungus,,Uncertain Ascomycota Family,,,,,,,,,,,,,,,,,,,,,,,,,,,
