"name","min","first","median","third","mean","max","nas"
"al_ppm",-2.4,103.2,326,608.125,526.058437937704,22377,5968
"ars_ppb",-18.41079119,0.26,1.35,3.1,22.3665776106954,3500,16231
"b_ppm",-17.74690508,0.9015,1.696,3.1285,4.0106877193796,84.3,6613
"ba_ppm",-0.041,6.20675,14.9,32.3,26.33984257136,646,11258
"be_ppm",-0.002,0.02,0.04,0.04,0.033168890287887,0.56,12921
"br_ppm",1,1,1,1,1,1,18443
"ca_ppm",-0.17,1671.05,2670,5346.45,5530.11511044188,158000,5457
"cd_ppm",-300,0.12,0.2,0.24,0.240776620107617,30,6931
"co_ppm",-17.78436585,0.24,0.24,0.78,0.966182019326761,55.5,12155
"cr_ppm",-17.48351054,0.509,0.98,1.79425,1.73812401455724,658.93,5812
"cu_ppm",-18.55281945,1.73,3.173,5.97,5.87944648192715,1103,5431
"f_ppm",1,1,1,1,1,1,18441
"fe_ppm",-1,83.6,271,571.475,509.618294722317,25179,6277
"hg_ppb",-13,139.68,217.13,327.04,277.566758815615,7195,17395
"k_ppm",-27.752,1759.1,2385.146,3230,2957.26757332643,61000,5464
"li_ppm",-0.07,0.127,0.4,0.4,0.387563081703645,7.16,12765
"mg_ppm",-2.131,372.04275,515.835,717.18875,680.880828846813,14092.40127,6208
"mn_ppm",-0.911,61,111.9,217.21,166.414961911352,4541.8,5455
"mo_ppm",-19.95133792,0.2,0.3,0.54,0.44274899784932,23.231,12418
"na_ppm",-61.54031719,38.0276819725,68.4515,122.5475,108.592613247409,6502,6216
"ni_ppm",-15.97511201,0.64,1,1.78,1.61831601034647,600,5987
"p_ppm",-2.902,537.1,789.6021325,1103.3,870.337628587159,7500,5595
"pb_ppm",-53.32677567,2,3.52,6.52,8.57197280611286,5153,5339
"rb_ppm",-5.61,8.86,53,53,37.8515386607307,539.5,12740
"si_ppm",-1661.332957,158,382.26,577.4875,792.796529004389,72000,11814
"sn_ppm",0,0,0,0,0,0,18434
"sr_ppm",-0.26,7.19,11.565,21.20375,18.4907184637149,530,11426
"ti_ppm",-0.061,7.61,19.958,43.276,56.2616457977341,3960,11053
"v_ppm",-20.10019709,0.389,0.9,2.12,6.01722266131048,1702,11442
"zn_ppm",-46.80330223,23.889081025,30.96,40.07425,36.2749102199183,2419,5452
"no3n_ppm",0,3.2,7.5,16.725,14.7764622641509,429,18232
